city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed
talnakh,RU,69.49,88.4,14.0,92,66,4.47
pangnirtung,CA,66.15,-65.71,27.3,91,100,6.38
mataura,NZ,-46.19,168.86,46.99,89,100,14.0
hilo,US,19.73,-155.09,63.7,73,20,4.7
busselton,AU,-33.65,115.33,65.35,62,96,11.01
atuona,PF,-9.8,-139.03,81.66,69,7,3.71
hereford,GB,52.06,-2.71,67.8,57,100,7.99
castro,BR,-24.79,-50.01,72.46,38,45,2.73
sur,OM,22.57,59.53,83.23,56,1,1.97
aitape,PG,-3.14,142.35,79.09,86,100,3.51
puerto ayora,EC,-0.74,-90.35,81.52,74,75,9.17
faanui,PF,-16.48,-151.75,82.36,72,100,11.61
dingle,PH,11.0,122.67,78.58,77,14,4.23
kentau,KZ,43.52,68.51,59.0,64,100,3.36
kununurra,AU,-15.77,128.73,80.6,83,90,4.7
sao gabriel da cachoeira,BR,-0.13,-67.09,82.62,79,100,2.89
chokurdakh,RU,70.63,147.92,-0.24,93,81,10.58
new norfolk,AU,-42.78,147.06,47.48,68,70,3.98
berdigestyakh,RU,62.1,126.7,23.92,95,62,7.94
vila velha,BR,-20.33,-40.29,78.19,61,75,13.87
rosetown,CA,51.55,-108.0,18.5,83,100,10.0
sao luiz gonzaga,BR,-28.41,-54.96,76.33,38,17,5.1
yellowknife,CA,62.46,-114.35,1.2,70,20,3.36
avarua,CK,-21.21,-159.78,77.0,100,100,1.12
bethel,US,41.37,-73.41,56.07,34,1,12.75
albany,US,42.6,-73.97,52.36,32,75,13.87
mahebourg,MU,-20.41,57.7,78.87,74,40,14.99
carnarvon,AU,-24.87,113.63,77.0,94,0,14.99
dikson,RU,73.51,80.55,12.74,97,92,12.17
pontes e lacerda,BR,-15.23,-59.34,85.19,64,3,1.81
puerto lopez,CO,4.08,-72.96,87.91,61,100,0.6
kruisfontein,ZA,-34.0,24.73,64.15,60,5,28.52
ribeira grande,PT,38.52,-28.7,68.0,72,20,8.05
port elizabeth,ZA,-33.92,25.57,66.2,63,20,31.09
arraial do cabo,BR,-22.97,-42.03,76.26,65,75,4.7
springbok,ZA,-29.66,17.89,66.97,53,100,7.23
rikitea,PF,-23.12,-134.97,78.71,85,52,17.76
kodiak,US,57.79,-152.41,39.2,86,90,9.17
upernavik,GL,72.79,-56.15,30.65,92,100,7.36
hobyo,SO,5.35,48.53,84.83,72,45,11.9
olafsvik,IS,64.89,-23.71,39.56,85,74,11.54
kokkola,FI,63.84,23.13,37.87,93,90,12.75
tabas,IR,33.6,56.92,71.6,43,41,4.7
oranjestad,AW,12.52,-70.03,86.0,62,40,27.51
kavieng,PG,-2.57,150.8,84.16,70,78,3.18
mar del plata,AR,-38.0,-57.56,68.0,72,75,11.41
teya,RU,60.38,92.63,29.79,94,30,1.36
masterton,NZ,-40.96,175.66,59.27,84,100,3.0
dicabisagan,PH,17.08,122.42,76.95,82,70,5.7
barrow,US,71.29,-156.79,23.0,85,90,5.82
aksarka,RU,66.56,67.8,19.31,96,100,4.16
punta arenas,CL,-53.15,-70.92,48.09,76,40,17.22
nhulunbuy,AU,-12.23,136.77,77.0,94,94,9.73
constitucion,CL,-35.33,-72.42,59.02,48,0,9.93
moelv,NO,60.93,10.7,48.99,39,64,11.34
lindi,TZ,-10.0,39.72,79.74,84,100,8.77
sitka,US,57.05,-135.33,36.28,74,75,4.7
naze,JP,28.37,129.48,62.6,59,90,33.33
klaksvik,FO,62.23,-6.59,35.6,51,68,23.04
victoria,HK,22.29,114.16,66.52,30,26,12.75
longyearbyen,SJ,78.22,15.64,1.4,59,20,4.7
qasigiannguit,GL,68.82,-51.19,41.0,65,100,14.99
veraval,IN,20.9,70.37,80.64,67,0,11.74
lagoa,PT,39.05,-27.98,61.57,75,0,6.31
garowe,SO,8.41,48.48,91.72,26,72,7.31
praia da vitoria,PT,38.73,-27.07,64.4,72,75,8.97
norman wells,CA,65.28,-126.83,17.6,61,40,9.17
esperance,AU,-33.87,121.9,64.4,100,90,5.82
kapaa,US,22.08,-159.32,66.85,82,1,5.82
valle nacional,MX,17.78,-96.32,94.68,27,19,1.7
torbay,CA,47.67,-52.73,43.57,52,20,18.34
shreveport,US,32.53,-93.75,65.5,93,90,10.29
upington,ZA,-28.45,21.26,80.6,26,20,11.41
ngunguru,NZ,-35.62,174.5,62.74,97,88,1.01
rudsar,IR,37.14,50.29,57.2,76,75,3.76
hermanus,ZA,-34.42,19.23,64.54,70,30,5.99
mitsamiouli,KM,-11.38,43.28,83.8,77,73,20.18
port alfred,ZA,-33.59,26.89,66.0,79,98,8.01
mildura,AU,-34.2,142.15,50.95,66,100,1.63
alagoinhas,BR,-12.14,-38.42,90.9,47,45,4.94
ardakan,IR,32.31,54.02,73.4,33,40,6.93
khatanga,RU,71.97,102.5,9.81,93,100,21.27
bengkulu,ID,-3.8,102.27,79.9,83,100,3.04
burnie,AU,-41.07,145.92,50.49,8,100,3.0
pevek,RU,69.7,170.31,4.91,88,10,11.5
deputatskiy,RU,69.3,139.9,-4.32,84,2,4.72
bandarbeyla,SO,9.49,50.81,82.38,76,76,13.6
sao filipe,CV,14.9,-24.5,77.27,67,1,14.09
hithadhoo,MV,-0.6,73.08,85.53,67,48,7.2
denpasar,ID,-8.65,115.22,80.6,83,20,6.93
nara,JP,34.69,135.8,48.97,87,90,33.33
cabo san lucas,MX,22.89,-109.91,66.0,68,20,3.36
lorengau,PG,-2.02,147.27,83.01,74,12,4.61
turukhansk,RU,65.82,87.98,35.96,96,100,9.26
kargat,RU,55.2,80.28,33.58,88,51,5.91
nanortalik,GL,60.14,-45.24,36.48,82,93,14.36
bluff,NZ,-46.6,168.33,46.99,90,100,10.0
