startstationname,num_start,num_end,diff
12 Ave & W 40 St,12245,12354,109
1 Ave & E 68 St,10956,10924,-32
West St & Chambers St,10895,11167,272
Broadway & W 60 St,9647,9653,6
Pier 40 - Hudson River Park,9491,9545,54
Christopher St & Greenwich St,8886,9414,528
E 13 St & Avenue A,8648,8710,62
Central Park S & 6 Ave,8188,8196,8
West St & Liberty St,8092,8127,35
S 5 Pl & S 5 St,8020,8117,97
Central Park North & Adam Clayton Powell Blvd,7830,7874,44
E 17 St & Broadway,7459,7622,163
5 Ave & E 73 St,7371,7335,-36
W 21 St & 6 Ave,7259,7240,-19
FDR Drive & E 35 St,7212,7198,-14
Carmine St & 6 Ave,7177,7404,227
Little West St & 1 Pl,7144,7167,23
Kent Ave & N 7 St,7062,7248,186
Broadway & E 14 St,7019,6958,-61
Central Park West & W 72 St,6942,6889,-53
Broadway & E 22 St,6822,6840,18
E 20 St & 2 Ave,6728,6688,-40
E 33 St & 1 Ave,6634,6728,94
Broadway & W 25 St,6544,6590,46
1 Ave & E 62 St,6523,6204,-319
W 4 St & 7 Ave S,6355,6403,48
Grand Army Plaza & Central Park S,6328,6253,-75
8 Ave & W 52 St,6290,6333,43
Grand St & Elizabeth St,6290,6467,177
West Drive & Prospect Park West,6288,6288,0
12 Ave & W 125 St,6284,6227,-57
1 Ave & E 78 St,6090,5922,-168
Central Park West & W 68 St,6069,5933,-136
5 Ave & E 88 St,6065,6057,-8
11 Ave & W 41 St,5984,5969,-15
Broadway & W 56 St,5975,5865,-110
University Pl & E 14 St,5964,6166,202
2 Ave & E 31 St,5955,5977,22
E 39 St & 2 Ave,5938,5872,-66
Central Park West & W 85 St,5861,5836,-25
W 59 St & West End Ave,5734,5762,28
9 Ave & W 22 St,5687,5779,92
E 25 St & 2 Ave,5671,5523,-148
W 24 St & 7 Ave,5657,5630,-27
Queens Plaza North & Crescent St,5587,5555,-32
MacDougal St & Prince St,5567,5597,30
Cleveland Pl & Spring St,5552,5636,84
Grand Army Plaza & Plaza St West,5544,5549,5
8 Ave & W 33 St,5533,5567,34
W 52 St & 11 Ave,5531,5471,-60
Greenwich Ave & 8 Ave,5522,5545,23
W 20 St & 11 Ave,5509,5611,102
W 22 St & 10 Ave,5436,5434,-2
S 4 St & Wythe Ave,5408,5434,26
E 11 St & 1 Ave,5382,5397,15
E 11 St & 2 Ave,5365,5478,113
W 15 St & 7 Ave,5359,5316,-43
E 10 St & Avenue A,5270,5458,188
7 Ave & Central Park South,5223,5212,-11
Lenox Ave & W 111 St,5192,5228,36
Centre St & Chambers St,5185,5243,58
Sullivan St & Washington Sq,5181,5253,72
9 Ave & W 45 St,5165,5120,-45
West Thames St,5139,5170,31
E 31 St & 3 Ave,5133,5065,-68
E 23 St & 1 Ave,5099,5131,32
Central Park W & W 96 St,5076,4530,-546
Riverside Dr & W 72 St,5039,5071,32
E 7 St & Avenue A,5025,5041,16
W 169 St & Fort Washington Ave,5007,4861,-146
2 Ave & E 72 St,5004,4823,-181
Clinton St & Grand St,4987,5007,20
Old Fulton St,4963,5314,351
6 Ave & W 33 St,4959,4852,-107
Columbus Ave & W 72 St,4914,4605,-309
Pershing Square North,4905,4927,22
Mott St & Prince St,4898,4928,30
W 50 St & 9 Ave,4850,4856,6
Lafayette St & E 8 St,4798,4887,89
W 22 St & 8 Ave,4773,4770,-3
W 38 St & 8 Ave,4719,4679,-40
Forsyth St & Canal St,4716,4800,84
Amsterdam Ave & W 73 St,4702,4695,-7
E 72 St & York Ave,4701,4514,-187
E 6 St & Avenue D,4689,4767,78
Riverside Blvd & W 67 St,4686,4699,13
University Pl & E 8 St,4684,4786,102
Norfolk St & Broome St,4683,4746,63
E 15 St & 3 Ave,4624,4670,46
W 43 St & 10 Ave,4608,4592,-16
W 47 St & 10 Ave,4604,4572,-32
6 Ave & Broome St,4551,4817,266
South St & Gouverneur Ln,4510,4411,-99
Canal St & Rutgers St,4501,4560,59
W 41 St & 8 Ave,4484,4325,-159
Allen St & Rivington St,4457,4470,13
W 37 St & 10 Ave,4442,4422,-20
E 27 St & 1 Ave,4409,4462,53
E 85 St & 3 Ave,4393,4355,-38
E 58 St & 3 Ave,4389,4400,11
W 49 St & 8 Ave,4388,4397,9
Barrow St & Hudson St,4338,4321,-17
Suffolk St & Stanton St,4335,4266,-69
6 Ave & W 34 St,4323,4245,-78
Wall St & South St,4295,4572,277
W 17 St & 8 Ave,4293,4286,-7
5 Ave & E 78 St,4288,4022,-266
W 33 St & 7 Ave,4276,4142,-134
W 26 St & 8 Ave,4249,4112,-137
W 53 St & 10 Ave,4240,4210,-30
W 20 St & 8 Ave,4183,4104,-79
E 2 St & Avenue B,4169,4184,15
8 Ave & W 31 St,4156,4219,63
Vesey Pl & River Terrace,4085,4099,14
E 4 St & 2 Ave,4075,4137,62
Union Ave & N 12 St,4068,4131,63
Allen St & Hester St,4057,4127,70
Bank St & Washington St,4054,4065,11
Allen St & Stanton St,4041,4075,34
1 Ave & E 30 St,4032,4110,78
St Marks Pl & 2 Ave,4011,4113,102
St Marks Pl & 1 Ave,3954,3892,-62
Central Park West & W 100 St,3954,3771,-183
E 6 St & Avenue B,3934,3947,13
E 20 St & FDR Drive,3925,3906,-19
1 Ave & E 5 St,3918,3878,-40
Bank St & Hudson St,3910,3909,-1
Perry St & Bleecker St,3871,4000,129
Murray St & Greenwich St,3832,4078,246
11 Ave & W 27 St,3809,3813,4
10 Ave & W 28 St,3808,3586,-222
Franklin Ave & Empire Blvd,3796,3870,74
Atlantic Ave & Furman St,3759,3874,115
E 55 St & 2 Ave,3740,3688,-52
E 84 St & 1 Ave,3735,3768,33
9 Ave & W 28 St,3719,3724,5
W 46 St & 11 Ave,3706,3739,33
Washington Pl & 6 Ave,3701,3704,3
E 2 St & Avenue A,3689,3793,104
E 74 St & 1 Ave,3673,3676,3
E 32 St & Park Ave,3669,3576,-93
W 30 St & 10 Ave,3637,3626,-11
Lafayette St & Jersey St,3626,3611,-15
W 59 St & 10 Ave,3614,3519,-95
Cherry St,3559,3592,33
Wythe Ave & Metropolitan Ave,3553,3585,32
